ID,Year,Month,State,MSA_LABEL,CNTY_LABEL,Ori,Agency,VicSex,VicAge,OffSex,OffAge,Weapon,WEAPON_LABEL,Relationship,Circumstance,Subcircum,Situation,Solved,SOLVED
197702002AL00301,1977,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,21,Male,31,Other or type unknown,Other or type unknown,Wife,Circumstances undetermined,,Single victim/single offender,Yes,1
197701001AL00400,1977,January,Alabama,"Montgomery, AL","Autauga, AL",AL00400,Autauga County,Female,65,Male,62,Other or type unknown,Other or type unknown,Acquaintance,Brawl due to influence of alcohol,,Single victim/single offender,Yes,1
197706003AL00301,1977,June,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,29,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
197902001AL00400,1979,February,Alabama,"Montgomery, AL","Autauga, AL",AL00400,Autauga County,Female,999,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199012004AL00301,1990,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,2,Female,27,Other or type unknown,Other or type unknown,Mother,Other,,Single victim/multiple offenders,Yes,1
199010001AL00401,1990,October,Alabama,"Montgomery, AL","Autauga, AL",AL00401,Prattville,Female,29,Male,17,Other or type unknown,Other or type unknown,Acquaintance,Circumstances undetermined,,Single victim/single offender,Yes,1
199108003AL00301,1991,August,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,70,Unknown,999,Other or type unknown,Other or type unknown,Acquaintance,Other,,Single victim/unknown offender(s),No,0
199111001AL00401,1991,November,Alabama,"Montgomery, AL","Autauga, AL",AL00401,Prattville,Female,55,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199110002AL00301,1991,October,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,64,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199212018AL00301,1992,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,24,Male,999,Other or type unknown,Other or type unknown,Common-law wife,Circumstances undetermined,,Single victim/single offender,Yes,1
199212004AL00301,1992,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,68,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Other arguments,,Single victim/unknown offender(s),No,0
199212011AL00301,1992,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,11,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199212015AL00301,1992,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,18,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Robbery,,Single victim/unknown offender(s),No,0
199212001AL00400,1992,December,Alabama,"Montgomery, AL","Autauga, AL",AL00400,Autauga County,Female,46,Male,26,Other or type unknown,Other or type unknown,Acquaintance,Other arguments,,Single victim/single offender,Yes,1
199304003AL00301,1993,April,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,2,Male,999,Other or type unknown,Other or type unknown,Relationship not determined,Other,,Single victim/single offender,Yes,1
199307002AL00301,1993,July,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,26,Male,999,Other or type unknown,Other or type unknown,Girlfriend,Circumstances undetermined,,Single victim/single offender,Yes,1
199307001AL00301,1993,July,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,79,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199306001AL00301,1993,June,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,70,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Burglary,,Single victim/unknown offender(s),No,0
199303003AL00301,1993,March,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,41,Male,999,Other or type unknown,Other or type unknown,Mother,Circumstances undetermined,,Single victim/single offender,Yes,1
199311001AL00301,1993,November,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,28,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Other,,Single victim/unknown offender(s),No,0
199310004AL00301,1993,October,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,33,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199408002AL00301,1994,August,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,1,Female,999,Other or type unknown,Other or type unknown,Daughter,Circumstances undetermined,,Single victim/single offender,Yes,1
199407002AL00301,1994,July,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,73,Female,35,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/single offender,Yes,1
199612001AL00301,1996,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,29,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199607001AL00301,1996,July,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,999,Male,999,Other or type unknown,Other or type unknown,Daughter,Circumstances undetermined,,Single victim/single offender,Yes,1
199705001AL00301,1997,May,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,42,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199705001AL00401,1997,May,Alabama,"Montgomery, AL","Autauga, AL",AL00401,Prattville,Female,90,Female,68,Other or type unknown,Other or type unknown,Mother,Other arguments,,Single victim/single offender,Yes,1
200012012AL00301,2000,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,46,Male,39,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/single offender,Yes,1
200012018AL00301,2000,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,43,Male,31,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/single offender,Yes,1
200104002AL00301,2001,April,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,44,Male,50,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/single offender,Yes,1
200112001AL00300,2001,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00300,Montgomery County,Female,999,Male,34,Other or type unknown,Other or type unknown,Girlfriend,Other arguments,,Single victim/single offender,Yes,1
200212002AL00301,2002,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,39,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
200402002AL00301,2004,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,40,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
200607002AL00301,2006,July,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,37,Male,19,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/single offender,Yes,1
200704004AL00301,2007,April,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,23,Male,42,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/single offender,Yes,1
200810002AL00301,2008,October,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,32,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201108060AL00301,2011,August,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,85,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201103059AL00301,2011,March,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,52,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201202300AL00301,2012,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,50,Unknown,999,Other or type unknown,Other or type unknown,Wife,Circumstances undetermined,,Single victim/single offender,Yes,1
201210624AL00401,2012,October,Alabama,"Montgomery, AL","Autauga, AL",AL00401,Prattville,Female,21,Male,23,Other or type unknown,Other or type unknown,Stranger,Circumstances undetermined,,Single victim/single offender,Yes,1
201308880AL00314,2013,August,Alabama,"Montgomery, AL","Montgomery, AL",AL00314,State Fire Marshal,Female,32,Male,36,Other or type unknown,Other or type unknown,Wife,Other arguments,,Single victim/single offender,Yes,1
201312851AL00314,2013,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00314,State Fire Marshal,Female,52,Male,24,Other or type unknown,Other or type unknown,Stepmother,Other arguments,,Single victim/single offender,Yes,1
201412040AL00301,2014,December,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,37,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201502035AL00301,2015,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,10,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201502036AL00301,2015,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,13,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201502038AL00301,2015,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,32,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201502039AL00301,2015,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,35,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201502041AL00301,2015,February,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,40,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201511034AL00301,2015,November,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,999,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201511037AL00301,2015,November,Alabama,"Montgomery, AL","Montgomery, AL",AL00301,Montgomery,Female,23,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
201605125AL00400,2016,May,Alabama,"Montgomery, AL","Autauga, AL",AL00400,Autauga County,Female,72,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Robbery,,Single victim/unknown offender(s),No,0
202108001AL00401,2021,August,Alabama,"Montgomery, AL","Autauga, AL",AL00401,Prattville,Female,35,Male,58,Other or type unknown,Other or type unknown,Stepdaughter,Circumstances undetermined,,Single victim/single offender,Yes,1
202101002AL04500,2021,January,Alabama,"Montgomery, AL","Lowndes, AL",AL04500,Lowndes County,Female,40,Unknown,999,Other or type unknown,Other or type unknown,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
